"Regiao","chr","start","end","XPC_WT","STAT1_WT","STAT2_WT","IRF9_WT","ELK1_WT","occupancy_score","SYMBOL","annotation","distanceToTSS","max_signalValue"
"region_09852","chr2",119425563,119426476,0,1,1,1,0,3,"TMEM37","Distal Intergenic",-3425,82.1201
"region_09884","chr2",120223101,120223650,0,1,1,0,1,3,"TMEM185B","Promoter (<=1kb)",0,11.7598
"region_09910","chr2",121755297,121755836,0,1,1,1,0,3,"TSN","Promoter (<=1kb)",0,14.5893
"region_09970","chr2",128090848,128091369,0,1,1,0,1,3,"UGGT1","Promoter (<=1kb)",0,11.63
"region_10036","chr2",133503286,133503753,0,1,1,1,0,3,"NCKAP5","Intron (ENST00000409261.6/344148, intron 3 of 19)",13760,16.6194
"region_10185","chr2",141699569,141700060,0,1,1,1,0,3,"LRP1B","Intron (ENST00000389484.8/53353, intron 2 of 90)",110341,30.9952
"region_10314","chr2",147884850,147885347,0,1,1,1,0,3,"ACVR2A","Intron (ENST00000487959.5/92, intron 1 of 1)",39821,31.0521
"region_10405","chr2",150371001,150372023,0,1,1,1,0,3,"LOC105373685","Distal Intergenic",-53153,55.2135
"region_10421","chr2",150487514,150487969,1,1,1,0,0,3,"RND3","Promoter (<=1kb)",0,13.6898
"region_10436","chr2",150681385,150682049,0,1,1,1,0,3,"LINC02612","Distal Intergenic",50204,19.8775
"region_10451","chr2",151260750,151262453,0,1,1,1,0,3,"RBM43","Promoter (<=1kb)",0,119.035
"region_10453","chr2",151288809,151290592,0,1,1,1,0,3,"NMI","Promoter (<=1kb)",0,82.229
"region_10508","chr2",152694094,152694771,0,1,1,1,0,3,"PRPF40A","Promoter (<=1kb)",-983,43.033
"region_10590","chr2",156430364,156431449,0,1,1,1,0,3,"GPD2","Intron (ENST00000847773.1/2820, intron 1 of 1)",-3841,22.4256
"region_10633","chr2",157460346,157461010,0,1,1,1,0,3,"CYTIP","Intron (ENST00000715893.1/9595, intron 3 of 10)",-16248,22.2738
"region_10659","chr2",158099689,158100268,0,1,1,1,0,3,"UPP2","Promoter (1-2kb)",-1600,32.1231
"region_10800","chr2",161159622,161161386,0,1,1,1,0,3,"TANK","Promoter (<=1kb)",0,43.0044
"region_10827","chr2",162112142,162112799,0,1,1,1,0,3,"LOC101929532","Distal Intergenic",-7378,25.542
"region_10832","chr2",162317684,162319428,0,1,1,1,0,3,"GCA","Promoter (<=1kb)",0,120.278
"region_10875","chr2",163666918,163667984,1,1,1,0,0,3,"FIGN","Intron (ENST00000409634.5/55137, intron 2 of 2)",68000,12.1057
"region_10936","chr2",164920133,164920971,0,1,1,1,0,3,"SLC38A11","Intron (ENST00000670672.1/101929633, intron 3 of 7)",-8047,32.6531
"region_10948","chr2",165121068,165121468,0,1,1,1,0,3,"SCN3A","3' UTR",19350,19.5649
"region_11015","chr2",167480485,167481185,0,1,1,1,0,3,"B3GALT1","Intron (ENST00000392690.4/8708, intron 1 of 4)",187314,11.5643
"region_11030","chr2",167815117,167815866,0,1,1,1,0,3,"B3GALT1-AS1","Promoter (<=1kb)",0,25.0207
"region_11111","chr2",169694289,169694718,0,1,1,0,1,3,"PHOSPHO2-KLHL23","Promoter (<=1kb)",0,7.76094
"region_11164","chr2",171272009,171272372,1,1,1,0,0,3,"LOC107983995","Intron (ENST00000796852.1/107983995, intron 1 of 1)",-11061,6.74008
"region_11180","chr2",172051947,172053121,0,1,1,1,0,3,"METAP1D","Intron (ENST00000493035.5/254042, intron 1 of 2)",-8452,70.4665
"region_11194","chr2",172339400,172340780,0,1,1,1,0,3,"LOC105373742","Exon (ENST00000734277.1/ENST00000734277.1, exon 1 of 3)",-8803,22.4322
"region_11309","chr2",175036465,175037113,0,1,1,1,0,3,"CHN1","Distal Intergenic",-31084,32.188
"region_11340","chr2",176317759,176318209,0,1,1,1,0,3,"MTX2","Intron (ENST00000420864.5/10651, intron 4 of 10)",48257,15.7856
"region_11402","chr2",178242230,178242691,1,1,1,0,0,3,"OSBPL6","Intron (ENST00000392505.6/114880, intron 1 of 25)",-42236,9.11919
"region_11409","chr2",178413377,178415224,0,1,1,1,0,3,"CHROMR","Promoter (<=1kb)",0,86.754
"region_11533","chr2",183124092,183124558,0,1,1,0,1,3,"NUP35","Promoter (<=1kb)",0,8.77934
"region_11619","chr2",187918954,187919757,0,1,1,1,0,3,"TFPI","Intron (ENST00000434418.2/104355152, intron 3 of 3)",-353194,54.6799
"region_11720","chr2",190696934,190697682,0,1,1,1,0,3,"NAB1","Intron (ENST00000676095.2/ENST00000676095.2, intron 3 of 8)",37077,31.0044
"region_11737","chr2",191013078,191015069,0,1,1,1,0,3,"STAT1","Promoter (<=1kb)",0,118.312
"region_11740","chr2",191019198,191021570,0,1,1,1,0,3,"STAT4-AS1","Promoter (<=1kb)",0,139.538
"region_11796","chr2",191866848,191867479,1,1,1,0,0,3,"CAVIN2","Intron (ENST00000792815.1/ENST00000792815.1, intron 1 of 1)",-19760,16.9411
"region_11816","chr2",193347604,193348246,0,1,1,1,0,3,"LOC107985969","Distal Intergenic",-176417,27.7549
"region_11957","chr2",200383241,200384540,0,1,1,1,0,3,"SPATS2L","5' UTR",5004,107.293
"region_12282","chr2",209495435,209496487,0,1,1,1,0,3,"MAP2","Intron (ENST00000682079.1/4133, intron 1 of 15)",71377,95.8184
"region_12392","chr2",215793621,215794464,1,1,1,0,0,3,"COXFA4P5","Intron (ENST00000445174.5/646324, intron 1 of 9)",10517,23.2853
"region_12426","chr2",217331495,217332035,1,1,1,0,0,3,"DIRC3","Intron (ENST00000452813.1/105373877, intron 4 of 4)",-3027,30.1202
"region_12515","chr2",219387103,219387945,0,1,1,1,0,3,"DNPEP","Promoter (<=1kb)",0,23.1894
"region_12529","chr2",222655774,222656600,0,1,1,1,0,3,"FARSB","Promoter (<=1kb)",0,19.2851
"region_12547","chr2",222842174,222843162,0,1,1,1,0,3,"ACSL3","Exon (ENST00000720735.1/ENST00000720735.1, exon 1 of 3)",-17780,59.4129
"region_12603","chr2",226118532,226119046,1,1,1,0,0,3,"LOC646736","Intron (ENST00000719962.1/ENST00000719962.1, intron 1 of 1)",-53380,20.2375
"region_12622","chr2",226583645,226584009,1,1,1,0,0,3,"MIR5702","Distal Intergenic",74784,5.5398
"region_12626","chr2",226618679,226619622,0,1,1,1,0,3,"MIR5702","Intron (ENST00000803133.1/ENST00000803133.1, intron 1 of 3)",39171,35.6225
"region_12639","chr2",226760651,226761373,0,1,1,1,0,3,"RHBDD1","Intron (ENST00000305123.6/3667, intron 1 of 1)",-33302,42.772
"region_12641","chr2",226771983,226773783,0,1,1,1,0,3,"RHBDD1","Intron (ENST00000305123.6/3667, intron 1 of 1)",-20892,136.605
"region_12680","chr2",227818093,227819294,1,1,1,0,0,3,"CCL20","Promoter (2-3kb)",2724,34.2799
"region_12706","chr2",229921035,229922857,0,1,1,1,0,3,"FBXO36","Promoter (<=1kb)",0,50.0697
"region_12713","chr2",230219234,230220671,0,1,1,1,0,3,"SP110","Promoter (<=1kb)",0,111.252
"region_12715","chr2",230326806,230327486,0,1,1,1,0,3,"SP140L","Promoter (<=1kb)",0,40.7791
"region_12720","chr2",230411177,230412300,0,1,1,1,0,3,"SP100","Exon (ENST00000623048.1/ENST00000623048.1, exon 1 of 1)",-3642,40.0903
"region_12721","chr2",230415533,230416940,0,1,1,1,0,3,"SP100","Promoter (<=1kb)",0,141.675
"region_12731","chr2",230706201,230706899,0,1,1,1,0,3,"LOC124907996","Exon (ENST00000750931.1/124907996, exon 2 of 2)",4571,38.1204
"region_12794","chr2",232363868,232364273,0,1,1,1,0,3,"ALPP","Distal Intergenic",-14451,21.9677
"region_12798","chr2",232550326,232551475,0,1,1,0,1,3,"MIR5001","Promoter (<=1kb)",0,10.8563
"region_12847","chr2",234981159,234982019,1,1,1,0,0,3,"SH3BP4","Promoter (<=1kb)",0,15.2946
"region_12859","chr2",235541781,235542355,0,1,1,1,0,3,"AGAP1","Intron (ENST00000304032.13/116987, intron 1 of 17)",17457,26.598
"region_12865","chr2",236117807,236118594,0,1,1,1,0,3,"GBX2","Intron (ENST00000304032.13/116987, intron 16 of 17)",44618,52.5774
"region_12871","chr2",237085608,237086145,0,1,1,0,1,3,"COPS8-DT","Promoter (<=1kb)",0,10.0824
"region_12900","chr2",237966494,237967129,0,1,1,0,1,3,"UBE2F-SCLY","Promoter (<=1kb)",0,8.02136
"region_12903","chr2",238063279,238063957,0,1,1,1,0,3,"SCLY","Promoter (<=1kb)",-403,40.0903
"region_12924","chr2",238426512,238427266,0,1,1,0,1,3,"ASB1","Promoter (<=1kb)",0,7.51106
"region_13002","chr3",2915647,2916351,0,1,1,1,0,3,"CNTN4","Intron (ENST00000427741.5/152330, intron 11 of 20)",14933,49.3548
"region_13005","chr3",3610663,3611529,0,1,1,1,0,3,"LRRN1","Intron (ENST00000420000.6/ENST00000420000.6, intron 2 of 4)",-187902,28.0207
"region_13057","chr3",4729208,4729879,0,1,1,1,0,3,"ITPR1","Promoter (<=1kb)",-504,32.9032
"region_13167","chr3",9422602,9423504,1,1,1,0,0,3,"SETD5","Promoter (<=1kb)",0,12.3973
"region_13179","chr3",9791936,9793411,0,1,1,0,1,3,"ARPC4-TTLL3","Promoter (<=1kb)",0,19.96
"region_13199","chr3",9986608,9987600,0,1,1,0,1,3,"EMC3-AS1","Promoter (<=1kb)",0,9.07817
"region_13233","chr3",10811920,10812974,0,1,1,1,0,3,"SLC6A11","Distal Intergenic",-3227,54.2364
"region_13240","chr3",10855209,10856599,0,1,1,1,0,3,"SLC6A11","Intron (ENST00000254488.7/6538, intron 5 of 13)",38981,37.799
"region_13293","chr3",12647331,12648186,0,1,1,1,0,3,"RAF1","Intron (ENST00000688543.1/5894, intron 1 of 15)",14467,29.8465
"region_13303","chr3",12841337,12842241,0,1,1,0,1,3,"RPL32","Promoter (<=1kb)",0,7.8342
"region_13318","chr3",13149549,13150240,0,1,1,1,0,3,"IQSEC1","Intron (ENST00000648114.1/9922, intron 2 of 15)",-76120,34.2417
"region_13377","chr3",15098886,15099371,0,1,1,0,1,3,"RBSN","Promoter (<=1kb)",0,8.96799
"region_13413","chr3",15797635,15798337,1,1,1,0,0,3,"ANKRD28","Promoter (<=1kb)",0,6.76194
"region_13519","chr3",19945302,19948070,0,1,1,1,0,3,"EFHB","Promoter (<=1kb)",0,34.9313
"region_13577","chr3",23950286,23950652,0,1,1,1,0,3,"NKIRAS1","Intron (ENST00000312521.9/9975, intron 1 of 7)",-3695,9.87263
"region_13658","chr3",27281474,27282335,0,1,1,1,0,3,"NEK10","Promoter (2-3kb)",2566,55.5756
"region_13720","chr3",28347526,28349838,0,1,1,1,0,3,"ZCWPW2","Promoter (<=1kb)",0,63.3502
"region_13806","chr3",30770385,30770847,1,1,1,0,0,3,"GADL1","Intron (ENST00000282538.10/339896, intron 14 of 14)",8226,11.9891
"region_13824","chr3",31377029,31377544,1,1,1,0,0,3,"LOC124909359","Distal Intergenic",-88025,19.5519
"region_13972","chr3",35528469,35529380,0,1,1,1,0,3,"LOC101928135","Distal Intergenic",-106346,35.5415
"region_13987","chr3",36907355,36908701,0,1,1,1,0,3,"TRANK1","Promoter (<=1kb)",0,58.2485
"region_14035","chr3",38136771,38139390,0,1,1,1,0,3,"ACAA1","Promoter (<=1kb)",0,65.9834
"region_14056","chr3",39177293,39178597,0,1,1,1,0,3,"LOC105377035","Promoter (<=1kb)",0,28.6466
"region_14082","chr3",40800441,40800792,1,1,1,0,0,3,"LOC105377043","Intron (ENST00000412811.2/105377043, intron 2 of 2)",34270,9.93876
"region_14093","chr3",40971607,40972187,0,1,1,1,0,3,"LOC105377043","Exon (ENST00000726235.1/105377043, exon 3 of 3)",61835,29.0156
"region_14121","chr3",41681367,41681838,1,1,1,0,0,3,"ULK4","Exon (ENST00000301831.9/54986, exon 28 of 37)",173073,6.66707
"region_14205","chr3",44321146,44321975,0,1,1,1,0,3,"TCAIM","Exon (ENST00000309765.4/375337, exon 17 of 20)",-16144,65.4037
"region_14223","chr3",44522370,44523153,0,1,1,1,0,3,"ZNF852","Exon (ENST00000745525.1/101928529, exon 3 of 3)",-11734,36.4466
"region_14264","chr3",45638801,45639680,0,1,1,1,0,3,"LIMD1","Intron (ENST00000465039.5/8994, intron 4 of 7)",-25995,54.4722
"region_14285","chr3",46110750,46111598,0,1,1,1,0,3,"LOC105377067","Exon (ENST00000723795.1/ENST00000723795.1, exon 1 of 2)",-19292,33.4878
"region_14288","chr3",46114065,46114942,0,1,1,1,0,3,"LOC105377067","Distal Intergenic",-15948,31.0753
"region_14302","chr3",46380914,46381261,0,1,1,1,0,3,"CCR5AS","Intron (ENST00000451485.3/102724297, intron 2 of 3)",-9336,7.09745
"region_14378","chr3",48300873,48301843,0,1,1,1,0,3,"NME6","Promoter (<=1kb)",0,10.1563
"region_14385","chr3",48472183,48473996,0,1,1,1,0,3,"SHISA5","Promoter (<=1kb)",0,56.8364
"region_14448","chr3",49813650,49814236,0,1,1,1,0,3,"UBA7","Promoter (<=1kb)",0,43.678
"region_14561","chr3",53346418,53348107,0,1,1,1,0,3,"DCP1A","Promoter (<=1kb)",0,26.228
"region_14647","chr3",58325226,58326085,0,1,1,1,0,3,"PXK","Distal Intergenic",-6795,110.755
"region_14879","chr3",71584380,71585082,0,1,1,1,0,3,"FOXP1","Promoter (<=1kb)",-402,38.0344
"region_15048","chr3",88031758,88032155,0,1,1,1,0,3,"LOC128031834","Distal Intergenic",26061,20.6797
"region_15086","chr3",95705888,95706458,0,1,1,1,0,3,"MTHFD2P1","Intron (ENST00000785188.1/100287639, intron 1 of 2)",15594,16.5087
"region_15184","chr3",100002789,100003381,1,1,1,0,0,3,"MIR3921","Intron (ENST00000463526.1/84319, intron 1 of 3)",-38391,10.5952
"region_15420","chr3",107986903,107987795,1,1,1,0,0,3,"LOC124906265","Exon (ENST00000773022.1/ENST00000773022.1, exon 1 of 3)",48097,40.4675
"region_15509","chr3",111737583,111738110,1,1,1,0,0,3,"PHLDB2","Intron (ENST00000393934.7/257068, intron 3 of 3)",5086,12.1044
"region_15510","chr3",111739324,111739673,1,1,1,0,0,3,"PHLDB2","Intron (ENST00000393934.7/257068, intron 3 of 3)",6827,6.22904
"region_15544","chr3",112647152,112647514,1,1,1,0,0,3,"CCDC80","Promoter (1-2kb)",1933,5.56823
"region_15593","chr3",114439292,114439726,0,1,1,1,0,3,"ZBTB20-AS5","Intron (ENST00000675478.1/26137, intron 7 of 11)",-5795,28.8626
"region_15607","chr3",114624612,114625226,1,1,1,0,0,3,"ZBTB20","Promoter (<=1kb)",0,16.7339
"region_15662","chr3",115790777,115791079,1,1,1,0,0,3,"LOC107986116","Promoter (<=1kb)",0,6.2382
"region_15689","chr3",119570193,119570600,0,1,1,1,0,3,"ADPRH","Distal Intergenic",-8668,10.2104
"region_15743","chr3",121432111,121432665,0,1,1,1,0,3,"POLQ","3' UTR",48931,31.2772
"region_15768","chr3",122365396,122366054,0,1,1,1,0,3,"MIX23","Promoter (<=1kb)",0,52.599
"region_15784","chr3",122563419,122565249,0,1,1,1,0,3,"DTX3L","Promoter (<=1kb)",0,149.335
"region_15785","chr3",122572818,122573569,0,1,1,1,0,3,"PARP15","3' UTR",-4059,42.2884
"region_15790","chr3",122679026,122682109,0,1,1,1,0,3,"PARP14","Promoter (<=1kb)",0,119.948
"region_15791","chr3",122682770,122683468,0,1,1,1,0,3,"PARP14","Promoter (1-2kb)",1909,33.3145
"region_15911","chr3",125310461,125311227,0,1,1,1,0,3,"ZNF148","Exon (ENST00000493631.1/ENST00000493631.1, exon 1 of 1)",-17668,19.0262
"region_15933","chr3",125935021,125935670,0,1,1,1,0,3,"ALG1L1P","Promoter (1-2kb)",-1148,37.6118
"region_16012","chr3",128707829,128708531,0,1,1,1,0,3,"LOC124900558","Intron (ENST00000676214.1/7879, intron 1 of 5)",6174,42.8246
"region_16026","chr3",129161031,129161828,0,1,1,0,1,3,"ISY1-RAB43","Promoter (<=1kb)",0,10.8437
"region_16131","chr3",134309804,134310558,0,1,1,1,0,3,"LINC02004","Promoter (1-2kb)",-1591,52.919
"region_16137","chr3",134374141,134374853,0,1,1,1,0,3,"AMOTL2","Promoter (<=1kb)",0,71.1006
"region_16241","chr3",141294032,141295288,0,1,1,1,0,3,"PXYLP1","3' UTR",6673,63.0895
"region_16294","chr3",142850333,142851121,1,1,1,0,0,3,"PCOLCE2","Promoter (1-2kb)",-1989,11.6284
"region_16300","chr3",142939908,142940919,0,1,1,1,0,3,"HLMR1","Promoter (<=1kb)",0,25.9774
"region_16306","chr3",142976596,142977039,1,1,1,0,0,3,"PAQR9-AS1","Intron (ENST00000497652.5/101927832, intron 2 of 4)",12014,10.3002
"region_16392","chr3",146543185,146545326,0,1,1,1,0,3,"PLSCR1","Promoter (<=1kb)",0,122.636
"region_16412","chr3",147404153,147404798,0,1,1,1,0,3,"ZIC4","Promoter (<=1kb)",0,29.8108
"region_16445","chr3",148601926,148602823,0,1,1,1,0,3,"LOC105374150","Distal Intergenic",-9991,45.2505
"region_16467","chr3",149214504,149216556,0,1,1,1,0,3,"LOC101927942","Promoter (<=1kb)",0,59.4292
"region_16470","chr3",149224808,149225810,0,1,1,1,0,3,"LOC101927942","Promoter (<=1kb)",0,44.9638
"region_16473","chr3",149245490,149246283,0,1,1,1,0,3,"LOC101927942","Exon (ENST00000790576.1/ENST00000790576.1, exon 1 of 5)",20493,53.4484
"region_16479","chr3",149299967,149300539,1,1,1,0,0,3,"TM4SF18-AS1","Intron (ENST00000489011.1/128193290, intron 1 of 1)",15185,26.0694
"region_16529","chr3",150375895,150376836,0,1,1,1,0,3,"LOC107986142","Intron (ENST00000750517.1/ENST00000750517.1, intron 1 of 2)",15763,60.4414
"region_16593","chr3",152381763,152383059,0,1,1,1,0,3,"MBNL1","Intron (ENST00000282486.10/4154, intron 2 of 9)",-31999,36.6149
"region_16614","chr3",153599631,153600115,1,1,1,0,0,3,"LINC02877","Intron (ENST00000493214.2/105374165, intron 4 of 6)",115136,8.6424
"region_16713","chr3",157174064,157175648,0,1,1,1,0,3,"LOC101928236","Promoter (<=1kb)",0,117.868
"region_17132","chr3",172133898,172134915,0,1,1,1,0,3,"FNDC3B","Intron (ENST00000415807.7/64778, intron 3 of 25)",6924,104.968
"region_17135","chr3",172140276,172141680,0,1,1,1,0,3,"FNDC3B","Intron (ENST00000415807.7/64778, intron 3 of 25)",13302,44.5083
"region_17144","chr3",172179579,172180599,0,1,1,1,0,3,"FNDC3B","Intron (ENST00000415807.7/64778, intron 3 of 25)",52605,109.28
"region_17160","chr3",172586319,172586966,0,1,1,1,0,3,"LINC02068","Intron (ENST00000830139.1/105374219, intron 2 of 2)",7704,44.3076
"region_17162","chr3",172592116,172592610,0,1,1,1,0,3,"LINC02068","Promoter (2-3kb)",2060,43.6707
"region_17163","chr3",172594184,172596440,0,1,1,1,0,3,"LINC02068","Promoter (<=1kb)",0,108.182
"region_17189","chr3",175207660,175208194,0,1,1,1,0,3,"NAALADL2","Intron (ENST00000485853.5/254827, intron 2 of 3)",-48217,24.2915
"region_17195","chr3",175790417,175790822,0,1,1,1,0,3,"NAALADL2-AS1","Intron (ENST00000454872.6/254827, intron 13 of 13)",-14084,28.9017
"region_17263","chr3",177614138,177615550,1,1,1,0,0,3,"LINC00578","Promoter (2-3kb)",-2040,121.695
"region_17317","chr3",179450884,179452203,0,1,1,1,0,3,"GNB4","Promoter (<=1kb)",0,40.8336
"region_17446","chr3",185836711,185837782,0,1,1,1,0,3,"IGF2BP2","Distal Intergenic",-11669,20.6768
"region_17529","chr3",187368070,187368737,0,1,1,1,0,3,"RTP4","Promoter (<=1kb)",0,33.4676
"region_17551","chr3",187889425,187890839,0,1,1,1,0,3,"LOC105374263","Promoter (<=1kb)",0,70.5369
"region_17586","chr3",188186899,188187499,0,1,1,1,0,3,"FLJ42393","Intron (ENST00000448637.5/4026, intron 1 of 6)",8356,73.7412
"region_17599","chr3",188294781,188295553,1,1,1,0,0,3,"LPP","Intron (ENST00000448637.5/4026, intron 1 of 6)",-46110,21.4443
"region_17707","chr3",190330776,190331450,0,1,1,1,0,3,"CLDN16","Intron (ENST00000468220.1/10686, intron 1 of 4)",8235,33.0264
"region_17735","chr3",190701100,190701575,1,1,1,0,0,3,"LINC02013","Promoter (1-2kb)",-1786,8.60088
"region_17797","chr3",193805512,193805934,1,1,1,0,0,3,"LOC105374283","Distal Intergenic",14039,7.06923
"region_17954","chr3",197949628,197950467,0,1,1,1,0,3,"RPL35A","Promoter (<=1kb)",0,15.1131
"region_17970","chr4",699279,699745,0,1,1,1,0,3,"PCGF3","Distal Intergenic",-6003,27.5283
"region_18057","chr4",2934770,2935030,0,1,1,0,1,3,"SLC75A1","Promoter (<=1kb)",0,8.50417
"region_18122","chr4",6751388,6752276,0,1,1,1,0,3,"LOC105374367","Distal Intergenic",-11007,49.4892
"region_18175","chr4",7672695,7674934,0,1,1,1,0,3,"SORCS2","Intron (ENST00000507866.6/57537, intron 8 of 26)",-59346,74.4278
"region_18206","chr4",10116582,10117006,0,1,1,0,1,3,"WDR1","Promoter (<=1kb)",0,11.2845
"region_18281","chr4",13236361,13237228,0,1,1,1,0,3,"RAB28","Distal Intergenic",144366,41.7959
"region_18305","chr4",15004653,15005689,0,1,1,1,0,3,"CPEB2","Promoter (1-2kb)",-1678,32.6718
"region_18361","chr4",17576020,17578920,0,1,1,1,0,3,"LAP3","Promoter (<=1kb)",0,136.038
"region_18470","chr4",22969283,22970195,0,1,1,1,0,3,"LOC105374524","Intron (ENST00000826562.1/ENST00000826562.1, intron 2 of 2)",-18952,51.5291
"region_18534","chr4",24583497,24585412,0,1,1,1,0,3,"DHX15","Promoter (<=1kb)",0,69.7075
"region_18557","chr4",25233669,25235430,0,1,1,1,0,3,"PI4K2B-DT","Promoter (<=1kb)",0,23.5841
"region_18681","chr4",33917319,33918057,0,1,1,1,0,3,"LOC105374392","Intron (ENST00000505326.6/105374392, intron 2 of 2)",19329,73.6474
"region_18729","chr4",37675789,37676336,0,1,1,1,0,3,"RELL1","Intron (ENST00000314117.8/768211, intron 1 of 6)",10040,21.6325
"region_18835","chr4",39636677,39637310,0,1,1,1,0,3,"SMIM14","Promoter (<=1kb)",920,24.3001
"region_18839","chr4",39655912,39656387,0,1,1,1,0,3,"SMIM14-DT","Intron (ENST00000706646.1/105374419, intron 5 of 5)",14210,23.7664
"region_18841","chr4",39687038,39687469,0,1,1,1,0,3,"UBE2K","Distal Intergenic",-10640,24.028
"region_18892","chr4",40576618,40577923,0,1,1,1,0,3,"RBM47","Intron (ENST00000295971.12/54502, intron 1 of 6)",51606,89.6909
"region_18947","chr4",41933908,41935561,0,1,1,1,0,3,"TMEM33-DT","Promoter (<=1kb)",0,33.8864
"region_19046","chr4",48697957,48698710,1,1,1,0,0,3,"FRYL","Intron (ENST00000358350.9/285527, intron 2 of 63)",-16786,21.5661
"region_19144","chr4",54004532,54006239,0,1,1,1,0,3,"RPL21P44","3' UTR",-17474,58.569
"region_19149","chr4",54082145,54082720,1,1,1,0,0,3,"CHIC2","Intron (ENST00000507166.5/5156, intron 12 of 23)",9185,16.9932
"region_19397","chr4",71456830,71457227,1,1,1,0,0,3,"SLC4A4","Intron (ENST00000649996.1/8671, intron 13 of 26)",117777,5.85477
"region_19404","chr4",71608132,71609016,0,1,1,1,0,3,"LOC105377271","Distal Intergenic",-26471,44.651
"region_19465","chr4",73500292,73500946,0,1,1,1,0,3,"AFM","Intron (ENST00000226355.5/173, intron 12 of 14)",5177,41.7792
"region_19473","chr4",73598898,73599690,1,1,1,0,0,3,"RASSF6","Intron (ENST00000307439.10/166824, intron 2 of 10)",20722,8.95626
"region_19482","chr4",73740350,73740865,1,1,1,0,0,3,"CXCL8","Promoter (<=1kb)",0,13.6966
"region_19536","chr4",74653790,74654807,0,1,1,1,0,3,"LOC107986229","Promoter (<=1kb)",0,63.7681
"region_19542","chr4",74794089,74794837,0,1,1,1,0,3,"BTC","Promoter (<=1kb)",0,18.873
"region_19578","chr4",76011687,76012221,0,1,1,1,0,3,"ART3","Promoter (<=1kb)",0,35.9711
"region_19580","chr4",76023504,76023869,0,1,1,1,0,3,"CXCL10","Promoter (<=1kb)",-7,18.332
"region_19581","chr4",76028009,76028997,0,1,1,1,0,3,"CXCL10","Intron (ENST00000513353.5/419, intron 1 of 3)",-4512,79.3416
"region_19591","chr4",76213167,76214142,0,1,1,1,0,3,"FAM47E","Promoter (<=1kb)",0,35.3275
"region_19674","chr4",77734771,77735292,0,1,1,1,0,3,"CNOT6L","Promoter (2-3kb)",-2890,23.7483
"region_19752","chr4",81494081,81494644,0,1,1,1,0,3,"RASGEF1B","Intron (ENST00000638048.1/153020, intron 4 of 16)",-22153,37.211
"region_19820","chr4",83484409,83485187,0,1,1,1,0,3,"ABRAXAS1","Promoter (<=1kb)",0,10.7777
"region_19884","chr4",87005871,87007353,0,1,1,1,0,3,"AFF1","Promoter (<=1kb)",0,34.9335
"region_19940","chr4",88284192,88285292,0,1,1,1,0,3,"PPM1K-DT","Promoter (<=1kb)",0,33.3762
"region_19941","chr4",88320837,88321403,0,1,1,1,0,3,"PPM1K-DT","Promoter (1-2kb)",1607,17.8813
"region_19942","chr4",88378539,88379710,0,1,1,1,0,3,"HERC6","Promoter (<=1kb)",0,168.472
"region_19943","chr4",88382570,88383427,0,1,1,1,0,3,"HERC6","3' UTR",3506,35.2058
"region_19945","chr4",88456476,88457539,0,1,1,1,0,3,"HERC5-AS1","Promoter (<=1kb)",0,99.8384
"region_20089","chr4",94475603,94476198,0,1,1,1,0,3,"PDLIM5","Intron (ENST00000318007.9/10611, intron 2 of 9)",-12837,23.748
"region_20186","chr4",100891679,100892190,0,1,1,1,0,3,"LINC01218","Distal Intergenic",-11553,14.3153
"region_20305","chr4",105707720,105708287,0,1,1,1,0,3,"INTS12","Promoter (<=1kb)",0,22.9983
"region_20316","chr4",106264274,106264864,0,1,1,1,0,3,"TBCK","Intron (ENST00000394708.7/93627, intron 3 of 25)",-12267,38.8376
"region_20319","chr4",106315553,106316876,0,1,1,1,0,3,"AIMP1","Promoter (<=1kb)",0,18.0487
"region_20396","chr4",110487681,110488368,0,1,1,1,0,3,"ENPEP","Intron (ENST00000510961.1/2028, intron 1 of 4)",11526,69.9011
"region_20441","chr4",113146723,113147355,0,1,1,1,0,3,"ANK2","Promoter (1-2kb)",1104,40.0692
"region_20456","chr4",113547568,113547966,1,1,1,0,0,3,"CAMK2D","Exon (ENST00000511664.6/817, exon 6 of 21)",-29925,7.95514
"region_20508","chr4",116899895,116900396,0,1,1,1,0,3,"LOC107986306","Exon (ENST00000658952.1/ENST00000658952.1, exon 4 of 5)",25914,39.5379
"region_20575","chr4",123396292,123397689,0,1,1,1,0,3,"SPRY1","Promoter (<=1kb)",0,20.0452
"region_20579","chr4",123418402,123418997,0,1,1,1,0,3,"SPRY1","Intron (ENST00000827161.1/ENST00000827161.1, intron 1 of 1)",18434,20.0687
"region_20670","chr4",132123800,132124443,0,1,1,1,0,3,"LOC105377428","Promoter (<=1kb)",0,25.8444
"region_20847","chr4",141636266,141637053,0,1,1,1,0,3,"IL15","Promoter (<=1kb)",0,19.6411
"region_20866","chr4",143513094,143514318,0,1,1,1,0,3,"SMARCA5","Promoter (<=1kb)",0,37.9972
"region_20888","chr4",145618940,145620465,0,1,1,1,0,3,"MMAA","Promoter (<=1kb)",0,70.77
"region_20951","chr4",150582413,150583835,0,1,1,1,0,3,"LRBA","Promoter (<=1kb)",161,33.3694
"region_20955","chr4",150679052,150679811,0,1,1,1,0,3,"LRBA","Promoter (<=1kb)",0,39.9873
